ID,DATE,ELEMENT,DATA_VALUE,M_FLAG,Q_FLAG,S_FLAG,OBS_TIME
AE000041196,20210101,TMAX,278,,,S,
AE000041196,20210101,PRCP,0,D,,S,
AE000041196,20210101,TAVG,214,H,,S,
AEM00041194,20210101,TMAX,266,,,S,
AEM00041194,20210101,TMIN,178,,,S,
AEM00041194,20210101,PRCP,0,,,S,
AEM00041194,20210101,TAVG,217,H,,S,
AEM00041217,20210101,TMAX,262,,,S,
AEM00041217,20210101,TMIN,155,,,S,
AEM00041217,20210101,TAVG,202,H,,S,
AEM00041218,20210101,TMAX,250,,,S,
AEM00041218,20210101,TMIN,157,,,S,
AEM00041218,20210101,TAVG,202,H,,S,
AFM00040938,20210101,TAVG,9,H,,S,
AFM00040948,20210101,TAVG,0,H,,S,
AG000060390,20210101,TAVG,83,H,,S,
AG000060590,20210101,TMIN,1,,,S,
AG000060590,20210101,TAVG,74,H,,S,
AG000060611,20210101,TAVG,134,H,,S,
AGE00147708,20210101,TMIN,56,,,S,
AGE00147708,20210101,PRCP,0,,,S,
